normal_static_leafsum, normal_static_sideways_fenwick, normal_changing_leafsum, normal_changing_sideways_fenwick, uniform_static_leafsum, uniform_static_sideways_fenwick, uniform_changing_leafsum, uniform_changing_sideways_fenwick, weibull_static_leafsum, weibull_static_sideways_fenwick, weibull_changing_leafsum, weibull_changing_sideways_fenwick
0.161805, 0.127296, 0.19102, 0.182315, 0.190482, 0.144821, 0.244365, 0.179088, 0.182494, 0.126241, 0.193121, 0.169266
0.184465, 0.125893, 0.201709, 0.19663, 0.178884, 0.141201, 0.239681, 0.158306, 0.155828, 0.129129, 0.183658, 0.167539
0.21839, 0.129431, 0.212978, 0.203915, 0.187972, 0.138645, 0.228813, 0.152284, 0.155808, 0.124947, 0.195815, 0.159023
0.180997, 0.127094, 0.190584, 0.20406, 0.178919, 0.144655, 0.263431, 0.15648, 0.154981, 0.125371, 0.198145, 0.1924
0.185672, 0.147786, 0.251101, 0.186238, 0.189833, 0.12669, 0.181135, 0.172821, 0.158885, 0.135754, 0.18914, 0.177338
0.170478, 0.135383, 0.19428, 0.172478, 0.154677, 0.124718, 0.183364, 0.151501, 0.154905, 0.124854, 0.183174, 0.158901
0.161514, 0.126003, 0.190156, 0.172813, 0.154312, 0.125987, 0.176442, 0.152014, 0.156417, 0.125101, 0.181595, 0.159714
0.165608, 0.125286, 0.191501, 0.171708, 0.152796, 0.124365, 0.18256, 0.152207, 0.155358, 0.125659, 0.179622, 0.160495
0.161989, 0.124208, 0.192768, 0.171899, 0.152467, 0.13608, 0.180563, 0.151223, 0.155127, 0.124972, 0.179361, 0.160375
0.162096, 0.124883, 0.194109, 0.171385, 0.152762, 0.124893, 0.179261, 0.153266, 0.155, 0.125628, 0.181366, 0.159486
0.162701, 0.124013, 0.190121, 0.17154, 0.153155, 0.124192, 0.181673, 0.150591, 0.159059, 0.124592, 0.183241, 0.160303
0.16567, 0.124172, 0.189219, 0.171759, 0.153531, 0.125099, 0.176527, 0.151214, 0.154608, 0.124676, 0.181046, 0.158936
0.165124, 0.124985, 0.189776, 0.171548, 0.154108, 0.124356, 0.180217, 0.156481, 0.15534, 0.125434, 0.183308, 0.158916
0.162592, 0.126147, 0.194212, 0.171707, 0.152341, 0.124917, 0.179377, 0.152059, 0.154457, 0.124344, 0.179724, 0.159419
0.167092, 0.124697, 0.192711, 0.17126, 0.151936, 0.124259, 0.178871, 0.151428, 0.159698, 0.124615, 0.180638, 0.160221
0.163024, 0.124344, 0.191653, 0.172261, 0.151695, 0.12434, 0.180872, 0.152027, 0.155587, 0.124978, 0.18397, 0.159534
0.164737, 0.124573, 0.190291, 0.172608, 0.158834, 0.124336, 0.179799, 0.150619, 0.155586, 0.124141, 0.183764, 0.159892
0.16171, 0.124547, 0.190239, 0.17239, 0.152553, 0.124263, 0.180806, 0.151694, 0.154404, 0.125241, 0.184737, 0.159047
0.165273, 0.124302, 0.189808, 0.17137, 0.15213, 0.124487, 0.176474, 0.150444, 0.154744, 0.125753, 0.181522, 0.159047
0.164, 0.124522, 0.189012, 0.171749, 0.152526, 0.125428, 0.177521, 0.151329, 0.154685, 0.125314, 0.179802, 0.158925
0.164881, 0.125346, 0.191793, 0.173463, 0.154619, 0.126023, 0.181090, 0.152014, 0.155503, 0.125167, 0.181742, 0.160336
