normal_static_leafsum, normal_static_leafsum_split, normal_static_sideways_fenwick, normal_changing_leafsum, normal_changing_leafsum_split, normal_changing_sideways_fenwick, uniform_static_leafsum, uniform_static_leafsum_split, uniform_static_sideways_fenwick, uniform_changing_leafsum, uniform_changing_leafsum_split, uniform_changing_sideways_fenwick, weibull_static_leafsum, weibull_static_leafsum_split, weibull_static_sideways_fenwick, weibull_changing_leafsum, weibull_changing_leafsum_split, weibull_changing_sideways_fenwick
0.139148, 0.11917, 0.120992, 0.359141, 0.351057, 0.404511, 0.131877, 0.119449, 0.120989, 0.200208, 0.186733, 0.202713, 0.129848, 0.11821, 0.120001, 0.345585, 0.331883, 0.387888
0.13865, 0.120074, 0.121009, 0.352723, 0.35063, 0.404115, 0.131097, 0.120501, 0.119898, 0.187002, 0.186833, 0.203266, 0.127727, 0.119317, 0.121236, 0.337776, 0.335624, 0.388283
0.137905, 0.11995, 0.120961, 0.356742, 0.34968, 0.409311, 0.131216, 0.119551, 0.121024, 0.185396, 0.185836, 0.202522, 0.129534, 0.118606, 0.121144, 0.355929, 0.341555, 0.388827
0.138695, 0.120748, 0.120387, 0.358919, 0.349257, 0.404194, 0.131822, 0.120758, 0.13264, 0.186477, 0.184434, 0.203152, 0.12867, 0.12058, 0.120536, 0.345811, 0.3349, 0.388313
0.140037, 0.119875, 0.119939, 0.357772, 0.352184, 0.403733, 0.130818, 0.119797, 0.119997, 0.18618, 0.187093, 0.215984, 0.130096, 0.118286, 0.119983, 0.341354, 0.33688, 0.400054
0.139284, 0.120653, 0.120962, 0.356525, 0.353457, 0.404189, 0.131258, 0.119562, 0.12011, 0.184379, 0.187259, 0.202661, 0.128313, 0.118959, 0.13083, 0.342491, 0.336014, 0.388425
0.139432, 0.120744, 0.120894, 0.354141, 0.347941, 0.403153, 0.132589, 0.119156, 0.120356, 0.186374, 0.184307, 0.20275, 0.128044, 0.118572, 0.119917, 0.340164, 0.333077, 0.388098
0.138214, 0.120482, 0.119922, 0.35638, 0.344729, 0.404819, 0.130888, 0.119129, 0.121183, 0.185471, 0.187636, 0.202497, 0.129528, 0.119772, 0.119979, 0.347906, 0.335056, 0.389901
0.138405, 0.120816, 0.12098, 0.358367, 0.346966, 0.403768, 0.130993, 0.120919, 0.119776, 0.187215, 0.186544, 0.203211, 0.127761, 0.120025, 0.119969, 0.34165, 0.384874, 0.431318
0.154649, 0.123266, 0.121155, 0.355478, 0.346039, 0.403878, 0.132974, 0.11979, 0.121172, 0.186894, 0.184815, 0.20202, 0.128344, 0.119937, 0.120869, 0.34019, 0.334609, 0.388478
0.138055, 0.119433, 0.12101, 0.354742, 0.347394, 0.404782, 0.13295, 0.119487, 0.121206, 0.183504, 0.19048, 0.202514, 0.130135, 0.118329, 0.121138, 0.34937, 0.344095, 0.389581
0.137414, 0.121564, 0.120691, 0.359582, 0.348789, 0.40608, 0.131754, 0.13373, 0.120767, 0.185074, 0.185051, 0.202714, 0.130122, 0.128881, 0.12113, 0.337149, 0.337266, 0.389354
0.137695, 0.121223, 0.13007, 0.364835, 0.35214, 0.405343, 0.131351, 0.119523, 0.119844, 0.186528, 0.185465, 0.203002, 0.127927, 0.118692, 0.119915, 0.341363, 0.339349, 0.388895
0.139607, 0.120462, 0.121069, 0.361676, 0.354529, 0.404878, 0.131872, 0.120882, 0.120115, 0.188137, 0.186155, 0.202502, 0.128897, 0.118653, 0.121165, 0.349478, 0.33728, 0.388345
0.139727, 0.120263, 0.121344, 0.361443, 0.347699, 0.405312, 0.131366, 0.133722, 0.1206, 0.188273, 0.184811, 0.20226, 0.129807, 0.129713, 0.120348, 0.343164, 0.336333, 0.388459
0.139133, 0.120194, 0.121283, 0.355004, 0.346412, 0.40469, 0.131539, 0.119609, 0.121151, 0.186725, 0.186006, 0.20261, 0.129499, 0.118924, 0.120959, 0.34075, 0.345167, 0.388147
0.140212, 0.120277, 0.121304, 0.356555, 0.351106, 0.406878, 0.132477, 0.120856, 0.120583, 0.184916, 0.184781, 0.203248, 0.128299, 0.118263, 0.121106, 0.341393, 0.342741, 0.388687
0.138543, 0.121349, 0.12124, 0.355417, 0.348226, 0.40601, 0.131681, 0.120882, 0.12103, 0.188676, 0.184811, 0.203155, 0.128504, 0.117902, 0.120465, 0.347775, 0.335409, 0.388645
0.138026, 0.121242, 0.12098, 0.359814, 0.354543, 0.404155, 0.133072, 0.121329, 0.121366, 0.188438, 0.185236, 0.203469, 0.128457, 0.120356, 0.120427, 0.34235, 0.34601, 0.389216
0.139682, 0.123028, 0.120848, 0.369561, 0.354504, 0.404203, 0.13163, 0.121362, 0.121555, 0.186752, 0.185351, 0.201802, 0.129809, 0.118202, 0.137466, 0.347629, 0.335814, 0.389441
0.138322, 0.121397, 0.120135, 0.362297, 0.344505, 0.403589, 0.131428, 0.140081, 0.120495, 0.187753, 0.184835, 0.20335, 0.128053, 0.118943, 0.120306, 0.337575, 0.336234, 0.389137
0.140018, 0.121556, 0.12137, 0.364826, 0.343852, 0.404986, 0.131737, 0.119623, 0.120959, 0.186155, 0.188507, 0.202066, 0.130299, 0.121624, 0.121014, 0.34664, 0.346003, 0.38855
0.140411, 0.119896, 0.121283, 0.361291, 0.345906, 0.403734, 0.131018, 0.119747, 0.121778, 0.186165, 0.186949, 0.202075, 0.129825, 0.118116, 0.120578, 0.34894, 0.339789, 0.38943
0.139473, 0.120671, 0.120406, 0.360344, 0.348812, 0.405674, 0.132688, 0.120714, 0.121146, 0.202666, 0.186341, 0.202561, 0.130423, 0.119666, 0.120412, 0.345324, 0.336567, 0.389682
0.138448, 0.120027, 0.120041, 0.363701, 0.346847, 0.402732, 0.132275, 0.120913, 0.119869, 0.190183, 0.188303, 0.202117, 0.129854, 0.118422, 0.121133, 0.339903, 0.346141, 0.388203
0.139183, 0.121099, 0.120773, 0.359809, 0.354961, 0.404408, 0.131424, 0.121294, 0.12063, 0.185996, 0.188603, 0.203531, 0.129967, 0.11883, 0.120935, 0.341556, 0.357266, 0.415826
0.139501, 0.122233, 0.12012, 0.359655, 0.365859, 0.404877, 0.132849, 0.119404, 0.120585, 0.205363, 0.183035, 0.203242, 0.129161, 0.118209, 0.120577, 0.347386, 0.335126, 0.388662
0.139254, 0.119666, 0.12105, 0.351846, 0.346347, 0.40363, 0.130749, 0.119643, 0.119886, 0.185951, 0.184654, 0.201994, 0.128597, 0.118931, 0.121357, 0.339112, 0.341729, 0.388377
0.139836, 0.120618, 0.119903, 0.357315, 0.345214, 0.404122, 0.131831, 0.11986, 0.120384, 0.184103, 0.185517, 0.20248, 0.128928, 0.11831, 0.120238, 0.337016, 0.336449, 0.388148
0.139109, 0.120123, 0.119927, 0.353522, 0.34558, 0.404367, 0.131738, 0.120633, 0.120399, 0.187059, 0.18716, 0.202545, 0.129825, 0.119403, 0.120483, 0.348619, 0.332905, 0.389188
0.140272, 0.121194, 0.121243, 0.368860, 0.361527, 0.405296, 0.132150, 0.120828, 0.121051, 0.187430, 0.187204, 0.203362, 0.129182, 0.119645, 0.121074, 0.347405, 0.342660, 0.391266
