normal_static_wrs, normal_static_heap, normal_static_discrete, normal_static_sideways_fenwick, normal_changing_wrs, normal_changing_heap, normal_changing_sideways_fenwick, uniform_static_wrs, uniform_static_heap, uniform_static_discrete, uniform_static_sideways_fenwick, uniform_changing_wrs, uniform_changing_heap, uniform_changing_sideways_fenwick, weibull_static_wrs, weibull_static_heap, weibull_static_discrete, weibull_static_sideways_fenwick, weibull_changing_wrs, weibull_changing_heap, weibull_changing_sideways_fenwick
0.03199, 0.033378, 0.029928, 0.030218, 0.041091, 0.041863, 0.038485, 0.02973, 0.028965, 0.029262, 0.029198, 0.016311, 0.023385, 0.019939, 0.024755, 0.024277, 0.023115, 0.024162, 0.028786, 0.032888, 0.030384
0.032194, 0.033714, 0.030388, 0.030917, 0.041278, 0.041985, 0.038448, 0.029757, 0.029066, 0.02927, 0.029176, 0.016256, 0.050507, 0.020389, 0.024748, 0.024211, 0.023126, 0.024231, 0.029444, 0.032747, 0.058738
0.031966, 0.03385, 0.030578, 0.030927, 0.041168, 0.041904, 0.038393, 0.029768, 0.029001, 0.029234, 0.029194, 0.016257, 0.023303, 0.019916, 0.02476, 0.024237, 0.023137, 0.024055, 0.030038, 0.033545, 0.055332
0.03226, 0.034254, 0.030026, 0.03066, 0.041104, 0.041799, 0.038569, 0.029716, 0.028994, 0.029263, 0.029184, 0.016258, 0.023362, 0.020423, 0.024753, 0.024246, 0.023134, 0.024051, 0.029868, 0.032719, 0.029908
0.032421, 0.033668, 0.030366, 0.030647, 0.041303, 0.041941, 0.038389, 0.029762, 0.02901, 0.02925, 0.029215, 0.016293, 0.023366, 0.019785, 0.02473, 0.024227, 0.023167, 0.024109, 0.028811, 0.033112, 0.054975
0.032139, 0.033684, 0.030412, 0.031224, 0.041217, 0.041929, 0.038361, 0.029732, 0.029008, 0.029276, 0.029206, 0.016257, 0.023386, 0.020041, 0.024764, 0.024206, 0.023143, 0.024072, 0.029288, 0.032785, 0.029436
0.031973, 0.034426, 0.030743, 0.03097, 0.04207, 0.04194, 0.038335, 0.029769, 0.02899, 0.029271, 0.029216, 0.016295, 0.023426, 0.020081, 0.024745, 0.02425, 0.023141, 0.024073, 0.02881, 0.033363, 0.029806
0.03248, 0.033907, 0.030174, 0.03012, 0.041488, 0.041848, 0.038353, 0.029779, 0.028996, 0.029221, 0.029187, 0.016527, 0.02336, 0.019769, 0.024758, 0.024219, 0.023513, 0.024171, 0.028753, 0.03306, 0.029396
0.032145, 0.03353, 0.030257, 0.030942, 0.041247, 0.041951, 0.038457, 0.029704, 0.029009, 0.029258, 0.029197, 0.016264, 0.023356, 0.019774, 0.024754, 0.024226, 0.023147, 0.024108, 0.029236, 0.032962, 0.029616
0.03188, 0.033729, 0.03025, 0.030855, 0.041219, 0.041856, 0.03852, 0.029728, 0.028973, 0.029245, 0.029182, 0.016271, 0.023365, 0.019771, 0.024725, 0.024245, 0.023161, 0.050017, 0.030053, 0.032752, 0.029837
